"compound","Compound_Name","Smiles","match_type","mz","rt"
50,"(2R,3S,4R,7S,8R)-4-(2,4-Dihydroxyphenyl)-2,8-bis(3,4-dihydroxyphenyl)-3,4,7,8-tetrahydro-2H,6H-benzo[1,2-b:5,4-b??dipyran-3,7-diol","OC1Cc2cc3C(C(O)C(Oc3cc2OC1c4ccc(O)c(O)c4)c5ccc(O)c(O)c5)c6ccc(O)cc6O","in silico UNPD",545.1448,11.8112
53,"Di_Hydro_Quercetin_Pentose_Gallate","c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1cc(c(cc1)O)O)OC(=O)c1cc(c(c(c1)OC1OC(C(C1O)O)CO)O)O","mass_only",587.104025,11.189975
55,"Epigallocatechin","OC1=C(C[C@@H](O)[C@@H](C2=CC(O)=C(O)C(O)=C2)O3)C3=CC(O)=C1","GNPS databases",305.065454,12.905958
56,"Tyrosine_Gallate","c1(ccc(cc1)OC(=O)c1cc(c(c(c1)O)O)O)CC(C(=O)O)N","mass_only",332.076256,6.554063
57,"Di_Gallocatechin_Type_B_Coumarate","c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)O)CC(C(O2)c1cc(c(c(c1)OC(=O)/C=C/c1ccc(cc1)O)O)O)O","in silico",755.161417,11.276106
60,"DiCE_DiGluc_DiCinnamate","c12c(c(cc(c1)OC(=O)/C=C/c1ccccc1)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)OC(=O)/C=C/c1ccccc1)CC(C(O2)c1ccc(c(c1)O)OCC1OC(O)C(O)C(C1OC1OC(C(C(C1O)O)O)CO)O)O","mass_only",1161.322773,18.777827
63,"ReSpect:PT204560 (+)-Epicatechin|EpCt-pl|ent-Epicatechin|Epicatechol|(+)-3,3',4',5,7-Pentahydroxyflavan|(2S,3S)-2-(3,4-dihydroxyphenyl)chroman-3,5,7-triol","C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O","GNPS databases",289.070643,8.519883
67,"NCGC00164319-09![(2R,3R)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromen-3-yl] 3,4,5-trihydroxybenzoate","OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C4=CC(O)=C(O)C(O)=C4","GNPS databases",457.076432,8.880088
70,"25-O-beta-D-glucopyranosyl-5beta,19-epoxycucurbita-6,23-diene-3beta,25-diol 3-O-beta-D-allopyranoside|goyaglycoside-e","CC(CC=CC(C)(C)OC1OC(CO)C(O)C(O)C1O)C2CCC3(C)C4C=CC56OCC4(CCC23C)C5CCC(OC7OC(CO)C(O)C(O)C7O)C6(C)C","in silico UNPD",779.458667,21.2118
71,"Quinic_Acid_4Gallate","O[C@]1(C[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(c(c(c3)O)O)O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)C1)C(=O)O","mass_only",799.098209,10.084915
72,"Quinic_Acid_Gallate_Gallate","O[C@]1(C[C@@H](O)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)C1)C(=O)O","mass_only",495.076673,9.10128
76,"Quinic_Acid_Gallate","O[C@]1(C[C@@H](O)[C@@H](O)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)C1)C(=O)O","mass_only",343.065508,6.916722
79,"ReSpect:PT204560 (+)-Epicatechin|EpCt-pl|ent-Epicatechin|Epicatechol|(+)-3,3',4',5,7-Pentahydroxyflavan|(2S,3S)-2-(3,4-dihydroxyphenyl)chroman-3,5,7-triol","C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O","GNPS databases",289.07066,6.963821
87,"(+)-Epicatechin gallate|(-)-epicatechin gallate from green tea|3-O-galloyl-(+)-epicatechin|3-O-galloyl-(-)-epicatechin|ECG|epicatechin-3-gallate|epicatechin-3-O-gallate","Oc1cc(O)c2CC(OC(=O)c3cc(O)c(O)c(O)c3)C(Oc2c1)c4ccc(O)c(O)c4","in silico UNPD",441.081456,11.057529
88,"Tyramine_2Gallate","O(c1ccc(cc1)CCN)C(=O)c1cc(c(c(c1)O)OC(=O)c1cc(c(c(c1)O)O)O)O","mass_only",440.097496,11.155211
89,"5-O-trigalloylquinic acid|Pistafolia A|pistafolin A","OC1CC(O)(CC(OC(=O)c2cc(O)c(OC(=O)c3cc(O)c(OC(=O)c4cc(O)c(O)c(O)c4)c(O)c3)c(O)c2)C1O)C(=O)O","in silico UNPD",647.08797,7.995977
90,"Quinic_Acid_Gallate","O[C@]1(C[C@@H](O)[C@@H](O)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)C1)C(=O)O","mass_only",343.065682,2.811428
92,"Di_Catechin_Type_B_Coumarate","c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)O)CC(C(O2)c1ccc(c(c1)OC(=O)/C=C/c1ccc(cc1)O)O)O","in silico",723.171367,13.531844
93,"Epigallocatechin","OC1=C(C[C@@H](O)[C@@H](C2=CC(O)=C(O)C(O)=C2)O3)C3=CC(O)=C1","GNPS databases",305.065526,3.750401
96,"Di_Hydro_Quercetin_Deoxyhexose_Coumarate","c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1cc(c(cc1)O)O)OC(=O)/C=C/c1ccc(cc1)OC1OC(C(C(C1O)O)O)C","in silico",595.144667,17.2838
109,"ReSpect:PT204590 Procyanidin B1|(-)-Epicatechin-(4-beta-8)-(+)-catechin|cis,trans''-4,8''-Bi-(3,3',4',5,7-pentahydroxyflavane)|(2R,3R,4R)-2-(3,4-dihydroxyphenyl)-4-[(2R,3S)-2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychro","C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O","GNPS databases",577.134236,6.763899
114,"3-O-galloyl-(-)-epicatechin","Oc1cc(O)c2CC(OC(=O)c3ccc(O)c(O)c3O)C(Oc2c1)c4ccc(O)c(O)c4","in silico UNPD",441.081133,11.687758
115,"ReSpect:PT209290 Myricetin-3-Rhamnoside|Myrc-3-Rha|Myricitrin|Myricitrine|Myricetrin|Myricitroside|myricetin-3-O-rhamnoside|Myricetol 3-rhamnoside|Myricetin 3-O-alpha-L-rhamnopyranoside|3-((6-Deoxy-alpha-L-mannopyrano","CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C(=C4)O)O)O)O)O)O","GNPS databases",463.087004,11.062139
118,"N-ACETYL-D-TRYPTOPHAN","O=C([C@@H](Cc1c[nH]c2c1cccc2)NC(C)=O)O","GNPS databases",245.09267,10.777875
119,"myricetin 3-O-(2'',3''-di-O-galloyl)-alpha-rhamnopyranoside","CC1OC(OC2=C(Oc3cc(O)cc(O)c3C2=O)c4cc(O)c(O)c(O)c4)C(OC(=O)c5cc(O)c(O)c(O)c5)C(OC(=O)c6cc(O)c(O)c(O)c6)C1O","in silico UNPD",767.109533,15.574067
120,"1,6-di-O-galloyl-beta-D-Glc|1,6-di-O-galloyl-beta-D-glucopyranose|1,6-di-O-galloyl-beta-D-glucose|1,6-di-O-galloyl-beta-glucopyranoside|1,6-Di-O-galloyl-?-glucose|1,6-Digalloyl glucopyranose|1,6-digalloyl-beta-D-glucopiranoside|NP-002973","OC1C(O)C(COC(=O)c2cc(O)c(O)c(O)c2)OC(OC(=O)c3cc(O)c(O)c(O)c3)C1O","in silico UNPD",483.076903,7.153644
121,"Di_Afzelechin_Type_B_Hexose_Cinnamate,Di_Afzelechin_Type_B_Deoxyhexose_Coumarate,Afzelechin_Catechin_Type_B_Deoxyhexose_Cinnamate","c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(cc1)O)O)c1c2c(c(cc1O)OC1C(O)OC(C(C1O)O)CO)CC(C(O2)c1ccc(cc1)O)OC(=O)/C=C/c1ccccc1,c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(cc1)O)O)c1c2c(c(cc1O)O)CC(C(O2)c1ccc(cc1)O)OC(=O)/C=C/c1ccc(cc1)OC1OC(C(C(C1O)O)O)C,c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(cc1)O)O)O)c1c2c(c(cc1O)OC1C(O)OC(C(C1O)OC(=O)/C=C/c1ccccc1)C)CC(C(O2)c1ccc(cc1)O)O","mass_only",837.2397,16.9107
124,"dihydromyricetin","OC1C(=C(Oc2cc(O)cc(O)c12)c3cc(O)c(O)c(O)c3)O","in silico UNPD",319.044799,9.036187
125,"4'_methyl_Myricetin_Hexose_Deoxyhexose_Hexose","c12c(c(cc(c1)O)O)c(=O)c(c(o2)c1cc(c(c(c1)O)OC)O)OC1OC(C(C(C1O)O)OC1OC(C(C(C1O)O)OC1OC(C(C(C1O)O)O)CO)CO)C","mass_only",801.2181,16.212267
127,"NCGC00385833-01![(2S,3R)-2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-3,4-dihydro-2H-chromen-7-yl] 3,4,5-trihydroxybenzoate","O[C@@H]1CC2=C(O)C=C(OC(=O)C3=CC(O)=C(O)C(O)=C3)C=C2O[C@H]1C4=CC=C(O)C(O)=C4","GNPS databases",441.08142,9.679243
129,"N/A","OC1C(O)C(OC(=O)c2cc(O)c(O)c(O)c2)C(COC(=O)c3cc(O)c(O)c(O)c3)OC1Oc4cc(O)c(C(=O)CCc5ccc(O)c(O)c5)c(O)c4","in silico UNPD",755.1461,9.19986
130,"11-oxomogrol 3,24-di-O-beta-D-glucopyranosyl-(1->6)-beta-D-glucopyranoside|11-oxomogroside IV|11-oxomogroside IV A|3beta,24,25-trihydroxy-(24R)-cucurbit-5-en-11-one 3-O-[beta-D-glucopyranosyl(1->6)-beta-D-glucopyranoside]-24-O-[beta-D-glucopyranosyl(1->6)-beta-D-glucopyranoside]","CC(CCC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C(C)(C)O)C3CCC4(C)C5CC=C6C(CCC(OC7OC(COC8OC(CO)C(O)C(O)C8O)C(O)C(O)C7O)C6(C)C)C5(C)C(=O)CC34C","in silico UNPD",1121.5714,15.2494
131,"fisetinidol-(4alpha?6)-gallocatechin","O[C@H]1Cc2cc(ccc2O[C@@H]1c3ccc(O)c(O)c3)[C@H]4[C@H](O)[C@H](Oc5cc(O)cc(O)c45)c6ccc(O)c(O)c6","in silico UNPD",545.1439,13.53695
132,"NCGC00385598-01!(2R,3R)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,3-dihydrochromen-4-one","OC[C@H]1O[C@@H](O[C@@H]2[C@H](OC3=CC(O)=CC(O)=C3C2=O)C4=CC(O)=C(O)C=C4)[C@H](O)[C@@H](O)[C@@H]1O","GNPS databases",465.10276,9.757654
136,"Spectral Match to Naringenin-7-O-glucoside from NIST14","N/A","GNPS databases",435.12789,13.504334
138,"catechin-(3'->0->3''')-afzelechin","OC1Cc2c(O)cc(O)cc2OC1c3ccc(O)c(Oc4cc(ccc4O)C5Oc6cc(O)cc(O)c6CC5O)c3","in silico UNPD",561.139029,9.299133
141,"(+)-catechin 3'-O-beta-D-glucopyranoside|(+)-catechin 3-O-beta-D-glucopyranoside|catechin 3'-O-beta-D-glucoside","OCC1OC(Oc2cc(ccc2O)C3Oc4cc(O)cc(O)c4CC3O)C(O)C(O)C1O","in silico UNPD",451.124339,6.543239
142,"OleanolicAcid_GlucosamineGlycoside_Pyranoside","OCC1OC(OC2CCC3(C(C2(C)C)CCC2(C3CC=C3C2(C)CCC2(C3CC(C)(C)CC2)C(=O)OC2OC(CO)C(C(C2O)O)O)C)C)C(C(C1O)O)N","in silico",778.47405,18.034475
147,"AcacicAcid_HexopyranuronicAcidGlycoside_Rhamnoside_Rhamnoside","OC(=O)C1OC(OC2CCC3(C(C2(C)C)CCC2(C3CC=C3C2(C)CC(C2(C3CC(C)(C)C(C2)OC2OC(C)C(C(C2O)O)O)C(=O)O)O)C)C)C(C(C1O)OC1OC(C)C(C(C1O)O)O)O","in silico",955.4872,19.2188
150,"(+)-catechin-3-O-beta-D-gluco(2,6-bis-cinnamoyl)pyranoside","OC1C(COC(=O)C=Cc2ccccc2)OC(OC3Cc4c(O)cc(O)cc4OC3c5ccc(O)c(O)c5)C(OC(=O)C=Cc6ccccc6)C1O","in silico UNPD",711.208146,21.080096
153,"Tyramine_Gallate","O(c1ccc(cc1)CCN)C(=O)c1cc(c(c(c1)O)O)O","mass_only",288.08717,9.58673
155,"1,3,5-tri-O-galloylquinic acid","O[C@@H]1[C@@H](C[C@@](C[C@H]1OC(=O)c2cc(O)c(O)c(O)c2)(OC(=O)c3cc(O)c(O)c(O)c3)C(=O)O)OC(=O)c4cc(O)c(O)c(O)c4","in silico UNPD",647.088128,8.73685
159,"CyclicMonoterpenyl_HexopyranuronicAcidGlycoside_OleanolicAcid_Pyranoside","OCC1OC(OC2C(O)C(OC(C2O)C(=O)O)OC2CCC3(C(C2(C)C)CCC2(C3CC=C3C2(C)CCC2(C3CC(C)(C)CC2)C(=O)OC(=O)C=C2CCC(OC2)(C)C=C)C)C)C(C(C1O)O)O","in silico",957.5049,24.80135
162,"GlucosamineGlycoside_OleanolicAcid_Pyranoside_Pyranoside","OCC1OC(OC2CCC3(C(C2(C)C)CCC2(C3CC=C3C2(C)CCC2(C3CC(C)(C)CC2)C(=O)OC2OC(CO)C(C(C2O)O)O)C)C)C(C(C1OC1OC(CO)C(C(C1O)O)O)O)N","in silico",940.526056,17.316692
167,"4-O-(6'-O-galloyl-beta-D-glucopyranosyl)-cis-p-coumaric acid|4-O-(6'-O-Galloyl-?-D-glucopyranosyl)-cis-p-coumaric acid","OC1C(O)C(COC(=O)c2cc(O)c(O)c(O)c2)OC(Oc3ccc(C=C/C(=O)O)cc3)C1O","in silico UNPD",477.102966,9.893391
168,"ReSpect:PT204580 Procyanidin B2|(-)-Epicatechin-(4-beta-8)-(-)-epicatechin|4,8'-Bi((+)-epicatechin))|cis,cis'-4,8'-Bi(3,3',4',5,7-pentahydroxyflavane)|(2R,3R,4R)-2-(3,4-dihydroxyphenyl)-4-[(2R,3R)-2-(3,4-dihydroxyphen","C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O","GNPS databases",577.133962,8.053795
172,"m-digalloyl L-tyrosine","N[C@@H](Cc1ccc(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)cc1)C(=O)O","in silico UNPD",484.087624,10.66456
174,"NCGC00385142-01![(2S,3R,4R,5R,6S)-2-[5,7-dihydroxy-4-oxo-2-(3,4,5-trihydroxyphenyl)chromen-3-yl]oxy-4,5-dihydroxy-6-methyloxan-3-yl] 3,4,5-trihydroxybenzoate","C[C@@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C4=CC(O)=C(O)C(O)=C4)[C@H](OC(=O)C5=CC(O)=C(O)C(O)=C5)[C@H](O)[C@H]1O","GNPS databases",615.098138,13.417453
175,"Epigallocatechin","OC1=C(C[C@@H](O)[C@@H](C2=CC(O)=C(O)C(O)=C2)O3)C3=CC(O)=C1","GNPS databases",305.065427,6.630513
176,"Di_Catechin_Type_B_Gallate_Gallate","c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)OC(=O)c1cc(c(c(c1)OC(=O)c1cc(c(c(c1)O)O)O)O)O)CC(C(O2)c1ccc(c(c1)O)O)O","in silico",881.152167,11.849025
180,"3-O-<alpha-L-arabinopyranosyl(1-6)>2-acetamido-2-deoxy-beta-D-glucopyranosyl echinocystic acid|3-O-[alpha-L-arabinopyranosyl(1->6)]-2-acetamido-2-deoxy-beta-D-glucopyranosyl echinocystic acid","CC(=O)NC1C(O)C(O)C(COC2OCC(O)C(O)C2O)OC1OC3CCC4(C)C(CCC5(C)C4CC=C6C7CC(C)(C)CCC7(C(O)CC56C)C(=O)O)C3(C)C","in silico UNPD",806.469528,21.679326
181,"TriCE_MonoGluc_MonoCinnamate","c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)OC(=O)/C=C/c1ccccc1)CC(C(O2)c1ccc(c(c1)O)OCC1OC(O)C(O)C(C1O)O)O","mass_only",1157.2938,14.9607
188,"ReSpect:PT204350 Quercitrin|Quer-3-Rha|Quercitrin|thujin|Quercetrin|Quercimelin|Quercitroside|quercetin-3-O-rhamnoside|Quercetin- 3-(6-deoxy-alpha-L-mannopyranoside)|3,3',4',5,7-Pentahydroxyflavone-3-L-rhamnoside|2-(3","CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O","GNPS databases",447.092112,12.419404
189,"Di_Catechin_Type_B_Hexose_Cinnamate_Hexose,Di_Catechin_Type_B_Deoxyhexose_Coumarate_Hexose,Di_Gallocatechin_Type_B_Deoxyhexose_Cinnamate_Deoxyhexose","c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)OC(=O)/C=C/c1ccccc1)CC(C(O2)c1ccc(c(c1)O)OCC1OC(O)C(O)C(C1OC1OC(C(C(C1O)O)O)CO)O)O,c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)OC1C(O)OC(C(C1O)O)CO)CC(C(O2)c1ccc(c(c1)OC(=O)/C=C/c1ccc(cc1)OC1OC(C(C(C1O)O)O)C)O)O,c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC(=O)/C=C/c1ccccc1)CC(C(O2)c1cc(c(c(c1)OC1OC(C(C(C1O)O)OC1OC(C(C(C1O)O)O)C)C)O)O)O","mass_only",1031.280183,14.00917
193,"Di_Hydro_Quercetin (taxifolin)","c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1cc(c(cc1)O)O)O","mass_only",303.049842,10.405881
196,"B5-3'-O-gallate|epicatechin-(4beta->6)-epicatechin-3-O-gallate|procyanidin B-5 3'O-gallate|Procyanidin B5 3'-O-gallate","OC1C(Oc2cc(O)cc(O)c2C1c3c(O)cc4OC(C(Cc4c3O)OC(=O)c5cc(O)c(O)c(O)c5)c6ccc(O)c(O)c6)c7ccc(O)c(O)c7","in silico UNPD",729.145915,9.740456
214,"2alpha,3beta-dihydroxyurs-12,20(30)-dien-28-oic acid 3-O-{[beta-D-xylopyranosyl-(1->3)]beta-D-glucopyranoside}","CC1C2C3=CCC4C5(C)CC(O)C(OC6OC(CO)C(O)C(OC7OCC(O)C(O)C7O)C6O)C(C)(C)C5CCC4(C)C3(C)CCC2(CCC1=C)C(=O)O","in silico UNPD",763.4262,18.0205
218,"1,3,5-tri-O-galloylquinic acid","O[C@@H]1[C@@H](C[C@@](C[C@H]1OC(=O)c2cc(O)c(O)c(O)c2)(OC(=O)c3cc(O)c(O)c(O)c3)C(=O)O)OC(=O)c4cc(O)c(O)c(O)c4","in silico UNPD",647.087879,10.096048
221,"5-O-trigalloylquinic acid|Pistafolia A|pistafolin A","OC1CC(O)(CC(OC(=O)c2cc(O)c(OC(=O)c3cc(O)c(OC(=O)c4cc(O)c(O)c(O)c4)c(O)c3)c(O)c2)C1O)C(=O)O","in silico UNPD",647.087872,9.2263
223,"Gly_Deoxy_Ser_Cinnamate","O=C(OCC(NC(=O)CCC(N)C(=O)O)CO)/C=C/c1ccccc1","mass_only",349.1393,11.47705
227,"3-O-beta-D-glucopyranosyl(1?3)-beta-D-glucopyranosyl(1?3)-beta-D-glucopyranosyloleanolic acid-28-O-beta-D-glucopyranoside","CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O)[C@H]6O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(=O)O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O","in silico UNPD",1103.562067,18.993033
229,"Di_Hydro_Quercetin_Pentose","c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1cc(c(cc1)O)O)OC1OC(C(C1O)O)CO","in silico",435.092217,11.298356
230,"Di_Catechin_Type_B_Hexose_Cinnamate_Hexose,Di_Catechin_Type_B_Deoxyhexose_Coumarate_Hexose,Di_Gallocatechin_Type_B_Deoxyhexose_Cinnamate_Deoxyhexose","c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)OC(=O)/C=C/c1ccccc1)CC(C(O2)c1ccc(c(c1)O)OCC1OC(O)C(O)C(C1OC1OC(C(C(C1O)O)O)CO)O)O,c12c(c(cc(c1)O)O)C(C(C(O2)c1ccc(c(c1)O)O)O)c1c2c(c(cc1O)OC1C(O)OC(C(C1O)O)CO)CC(C(O2)c1ccc(c(c1)OC(=O)/C=C/c1ccc(cc1)OC1OC(C(C(C1O)O)O)C)O)O,c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC(=O)/C=C/c1ccccc1)CC(C(O2)c1cc(c(c(c1)OC1OC(C(C(C1O)O)OC1OC(C(C(C1O)O)O)C)C)O)O)O","mass_only",1031.27925,14.73255
231,"Catechin_Epicatechin monomer","c12c(c(cc(c1)O)O)CC(C(O2)c1ccc(c(c1)O)O)O","mass_only",289.070513,15.013997
233,"17-hydroxy-24-O-(alpha-L-arabinofuranosyl-(1-2))-beta-D-glucopyranosyl-hopan-28,22-olide|17-hydroxy-24-O-<alpha-L-arabinofuranosyl-(1-2)>-beta-D-glucopyranosyl-hopan-28,22-olide","CC1(C)OC(=O)C23CCC1C2(O)CCC4(C)C3CCC5C6(C)CCCC(C)(COC7OC(CO)C(O)C(O)C7OC8OC(CO)C(O)C8O)C6CCC45C","in silico UNPD",765.4424,16.4063
