#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags
1052	M-H	N/A	-1	Gallocatechin_Catechin_Type_B_Gallate_Gallate	Other	GCYounkin	898.159	N/A	N/A	qTof	Negative	LC-ESI	897.152	lib-00027.mgf	Bronze	3	0.348143	4.76225	0.00427246	PRIVATE-USER	TAKursar	897.152	N/A	0	9	c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC(=O)c1cc(c(c(c1)OC(=O)c1cc(c(c(c1)O)O)O)O)O)CC(C(O2)c1ccc(c(c1)O)O)O	1	897.148	spectra/specs_ms.pklbin	CCMSLIB00001056847	195148	UPDATE-SINGLE-ANNOTATED-BRONZE	 
106	M-H	N/A	-1	name_unknown	Other	GCYounkin	866.206	N/A	N/A	qTof	Negative	LC-ESI	865.199	lib-00026.mgf	Bronze	3	0.413922	2.61015	0.0022583	PRIVATE-USER	TAKursar	865.199	N/A	0	6	C1([H])(C([H])(O[H])C([H])(c2c([H])c([H])c(O[H])c(O[H])c2[H])Oc(c([H])c(O[H])c(C3([H])C([H])(O[H])C([H])(c4c([H])c([H])c(O[H])c(O[H])c4[H])Oc(c([H])c(O[H])c([H])c5O[H])c35)c6O[H])c16)c7c(O[H])c([H])c(O[H])c(C([H])([H])C([H])(O[H])C([H])(c8c([H])c([H])c(O[H])c(O[H])c8[H])O9)c79	1	865.196	spectra/specs_ms.pklbin	CCMSLIB00001760482	1.85979e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1060	M-H	21637252	1	Spectral Match to Isoquercitin from NIST14	Isolated	Data deposited by rsilva	0.0	N/A	N/A	Q-TOF	Negative	ESI	463.091	lib-00024.mgf	Bronze	3	0.82876	7.57847	0.00350952	GNPS-NIST14-MATCHES	Data from Sambles	463.091	N/A	0	6	N/A	1	463.087	spectra/specs_ms.pklbin	CCMSLIB00003134899	67616	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1064	M-H	N/A	-1	myricetin_3-O-beta-D-(2''-galloyl)arabinopyranoside	Other	GCYounkin	602.091	N/A	N/A	qTof	Negative	LC-ESI	601.083	lib-00026.mgf	Bronze	3	0.594362	3.45242	0.0020752	PRIVATE-USER	TAKursar	601.083	N/A	0	7	C1(OC2([H])OC([H])([H])C([H])(O[H])C([H])(O[H])C2([H])OC(=O)c3c([H])c(O[H])c(O[H])c(O[H])c3[H])=C(Oc(c([H])c(O[H])c([H])c4O[H])c4C1=O)c5c([H])c(O[H])c(O[H])c(O[H])c5[H]	1	601.081	spectra/specs_ms.pklbin	CCMSLIB00001743516	76801.9	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1065	M-H	N/A	-1	Di_Hydro_Myricetin_Coumarate_Gallate	Other	GCYounkin	618.101	N/A	N/A	qTof	Negative	LC-ESI	617.094	lib-00027.mgf	Bronze	3	0.392988	30.958	0.019104	PRIVATE-USER	TAKursar	617.094	N/A	0	8	c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)OC(=O)/C=C/c1ccc(cc1)O)O)O	1	617.113	spectra/specs_ms.pklbin	CCMSLIB00001056611	454550	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1072	M-H	N/A	-1	Myricetin_Gallate_Gallate_Deoxyhexose	Other	GCYounkin	768.117	N/A	N/A	qTof	Negative	LC-ESI	767.11	lib-00027.mgf	Bronze	3	0.303163	2.22782	0.00170898	PRIVATE-USER	TAKursar	767.11	N/A	0	7	c12c(c(cc(c1)O)OC1C(C(O)OC(C1O)C)O)c(=O)c(c(o2)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)OC(=O)c1cc(c(c(c1)O)O)O)O)O	1	767.112	spectra/specs_ms.pklbin	CCMSLIB00001056199	3.05098e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1076	M-H	n/a	1	NCGC00385142-01![(2S,3R,4R,5R,6S)-2-[5,7-dihydroxy-4-oxo-2-(3,4,5-trihydroxyphenyl)chromen-3-yl]oxy-4,5-dihydroxy-6-methyloxan-3-yl] 3,4,5-trihydroxybenzoate	isolated	lfnothias	616.106	InChI=1S/C28H24O16/c1-8-19(35)23(39)26(43-27(40)10-4-15(33)21(37)16(34)5-10)28(41-8)44-25-22(38)18-12(30)6-11(29)7-17(18)42-24(25)9-2-13(31)20(36)14(32)3-9/h2-8,19,23,26,28-37,39H,1H3/t8-,19-,23+,26+,28-/m0/s1	N/A	Maxis II HD Q-TOF Bruker	negative	LC-ESI	615.099	lib-00017.mgf	Gold	1	0.726121	1.78611	0.00109863	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE	Jadhav/Dorrestein	615.099	n/a	0	8	C[C@@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C4=CC(O)=C(O)C(O)=C4)[C@H](OC(=O)C5=CC(O)=C(O)C(O)=C5)[C@H](O)[C@H]1O	1	615.098	spectra/specs_ms.pklbin	CCMSLIB00000845232	20613.6	UPDATE-SINGLE-ANNOTATED-GOLD	 
1078	M-H	N/A	-1	Di_Hydro_Kaempferol_Gallate_Gallate	Other	GCYounkin	592.085	N/A	N/A	qTof	Negative	LC-ESI	591.078	lib-00027.mgf	Bronze	3	0.411496	31.8043	0.0187988	PRIVATE-USER	TAKursar	591.078	N/A	0	6	c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1ccc(cc1)O)OC(=O)c1cc(c(c(c1)OC(=O)c1cc(c(c(c1)O)O)O)O)O	1	591.097	spectra/specs_ms.pklbin	CCMSLIB00001057517	59937.6	UPDATE-SINGLE-ANNOTATED-BRONZE	 
108	M-H	N/A	-1	"3-O-beta-D-Xylopyranoside-(2R,3R)-3,3',4',5,7-Pentahydroxyflavanone"	Other	GCYounkin	436.101	N/A	N/A	qTof	Negative	LC-ESI	435.093	lib-00026.mgf	Bronze	3	0.470044	2.73547	0.00119019	PRIVATE-USER	TAKursar	435.093	N/A	0	7	C1([H])(OC2([H])OC([H])([H])C([H])(O[H])C([H])(O[H])C2([H])O[H])C([H])(c3c([H])c([H])c(O[H])c(O[H])c3[H])Oc(c([H])c(O[H])c([H])c4O[H])c4C1=O	1	435.092	spectra/specs_ms.pklbin	CCMSLIB00002047242	694063	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1080	M-H	n/a	1	NCGC00385142-01![(2S,3R,4R,5R,6S)-2-[5,7-dihydroxy-4-oxo-2-(3,4,5-trihydroxyphenyl)chromen-3-yl]oxy-4,5-dihydroxy-6-methyloxan-3-yl] 3,4,5-trihydroxybenzoate	isolated	lfnothias	616.106	InChI=1S/C28H24O16/c1-8-19(35)23(39)26(43-27(40)10-4-15(33)21(37)16(34)5-10)28(41-8)44-25-22(38)18-12(30)6-11(29)7-17(18)42-24(25)9-2-13(31)20(36)14(32)3-9/h2-8,19,23,26,28-37,39H,1H3/t8-,19-,23+,26+,28-/m0/s1	N/A	Maxis II HD Q-TOF Bruker	negative	LC-ESI	615.099	lib-00017.mgf	Gold	1	0.831367	0.297685	0.000183105	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE	Jadhav/Dorrestein	615.099	n/a	0	8	C[C@@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C4=CC(O)=C(O)C(O)=C4)[C@H](OC(=O)C5=CC(O)=C(O)C(O)=C5)[C@H](O)[C@H]1O	1	615.099	spectra/specs_ms.pklbin	CCMSLIB00000845232	6.41804e+06	UPDATE-SINGLE-ANNOTATED-GOLD	 
1087	M-H	N/A	-1	Di_Hydro_Myricetin_Gallate	Other	GCYounkin	472.064	N/A	N/A	qTof	Negative	LC-ESI	471.057	lib-00027.mgf	Bronze	3	0.385159	4.4054	0.0020752	PRIVATE-USER	TAKursar	471.057	N/A	0	6	c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)O)O)O	1	471.055	spectra/specs_ms.pklbin	CCMSLIB00001057332	34818.2	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1089	M-H	N/A	-1	Di_Hydro_Quercetin_Gallate_Cinnamate	Other	GCYounkin	608.08	N/A	N/A	qTof	Negative	LC-ESI	607.073	lib-00025.mgf	Bronze	3	0.291363	0.10054	6.10352e-05	null	TAKursar	607.073	N/A	0	6	c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1cc(c(cc1)O)O)OC(=O)c1cc(c(c(c1)OC(=O)c1cc(c(c(c1)O)O)O)O)O	1	607.073	spectra/specs_ms.pklbin	CCMSLIB00001638546	163381	UPDATE-SINGLE-ANNOTATED-BRONZE	 
110	M-H	N/A	-1	arecatannin_B-1|epicatechin-(4beta?8)-epicatechin-(4beta?8)-epicatechin-(4beta?6)-epicatechin	Other	GCYounkin	1154.27	N/A	N/A	qTof	Negative	LC-ESI	1153.26	lib-00025.mgf	Bronze	3	0.462493	2.01111	0.00231934	null	TAKursar	1153.26	N/A	0	8	C1([H])(C([H])(O[H])C([H])(c2c([H])c([H])c(O[H])c(O[H])c2[H])Oc(c(c(O[H])c([H])c3O[H])C4([H])C([H])(O[H])C([H])(c5c([H])c([H])c(O[H])c(O[H])c5[H])Oc(c([H])c(O[H])c([H])c6O[H])c46)c13)c7c(O[H])c([H])c(O[H])c(C([H])(C([H])(O[H])C([H])(c8c([H])c([H])c(O[H])c(O[H])c8[H])O9)c%10c(O[H])c([H])c(OC([H])(c%11c([H])c([H])c(O[H])c(O[H])c%11[H])C([H])(O[H])C%12([H])[H])c%12c%10O[H])c79	1	1153.26	spectra/specs_ms.pklbin	CCMSLIB00001632504	755780	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1104	M-H	N/A	-1	Di_Hydro_Kaempferol_Pentose_Gallate	Other	GCYounkin	572.117	N/A	N/A	qTof	Negative	LC-ESI	571.109	lib-00027.mgf	Bronze	3	0.553463	4.06111	0.00231934	PRIVATE-USER	TAKursar	571.109	N/A	0	6	c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1ccc(cc1)O)OCC1OC(C(C1O)OC(=O)c1cc(c(c(c1)O)O)O)O	1	571.107	spectra/specs_ms.pklbin	CCMSLIB00001057475	34555.8	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1106	M-H	N/A	-1	Di_Hydro_Myricetin_Coumarate_Gallate	Other	GCYounkin	618.101	N/A	N/A	qTof	Negative	LC-ESI	617.094	lib-00027.mgf	Bronze	3	0.340885	29.6722	0.0183105	PRIVATE-USER	TAKursar	617.094	N/A	0	6	c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)OC(=O)/C=C/c1ccc(cc1)O)O)O	1	617.112	spectra/specs_ms.pklbin	CCMSLIB00001056611	100871	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1112	M-H	N/A	-1	Gallocatechin_Gallate_Gallate_Gallate	Other	GCYounkin	762.107	N/A	N/A	qTof	Negative	LC-ESI	761.1	lib-00027.mgf	Bronze	3	0.62561	2.80677	0.00213623	PRIVATE-USER	TAKursar	761.1	N/A	0	6	c12c(c(cc(c1)O)O)CC(C(O2)c1cc(c(c(c1)O)O)O)OC(=O)c1cc(c(c(c1)O)O)OC(=O)c1cc(c(c(c1)O)O)OC(=O)c1cc(c(c(c1)O)O)O	1	761.097	spectra/specs_ms.pklbin	CCMSLIB00001057969	4.14969e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1117	M-H	N/A	-1	quercetin_3-O-(2''-O-galloyl)-beta-D-4C1-glucuronopyranoside	Other	GCYounkin	630.086	N/A	N/A	qTof	Negative	LC-ESI	629.078	lib-00026.mgf	Bronze	3	0.435563	1.45535	0.000915527	PRIVATE-USER	TAKursar	629.078	N/A	0	7	C1(OC2([H])OC([H])(C(=O)O[H])C([H])(O[H])C([H])(O[H])C2([H])OC(=O)c3c([H])c(O[H])c(O[H])c(O[H])c3[H])=C(Oc(c([H])c(O[H])c([H])c4O[H])c4C1=O)c5c([H])c([H])c(O[H])c(O[H])c5[H]	1	629.078	spectra/specs_ms.pklbin	CCMSLIB00001847526	56239.3	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1119	M-H	N/A	-1	"3,5-Di-O-galloylepigallocatechin"	Other	GCYounkin	610.096	N/A	N/A	qTof	Negative	LC-ESI	609.089	lib-00026.mgf	Bronze	3	0.50203	2.7056	0.00164795	PRIVATE-USER	TAKursar	609.089	N/A	0	8	c1(c([H])c([H])c(O[H])c(O[H])c1O[H])C(=O)OC([H])(C([H])([H])c2c(c([H])c(O[H])c([H])c2OC(=O)c3c([H])c(O[H])c(c(O[H])c3[H])O[H])O4)C4([H])c5c([H])c(O[H])c(c(O[H])c5[H])O[H]	1	609.087	spectra/specs_ms.pklbin	CCMSLIB00002031151	546911	UPDATE-SINGLE-ANNOTATED-BRONZE	 
112	M-H	N/A	-1	name_unknown	Other	GCYounkin	866.206	N/A	N/A	qTof	Negative	LC-ESI	865.199	lib-00026.mgf	Bronze	3	0.434599	3.17451	0.00274658	PRIVATE-USER	TAKursar	865.199	N/A	0	7	C1([H])(C([H])(O[H])C([H])(c2c([H])c([H])c(O[H])c(O[H])c2[H])Oc(c([H])c(O[H])c(C3([H])C([H])(O[H])C([H])(c4c([H])c([H])c(O[H])c(O[H])c4[H])Oc(c([H])c(O[H])c([H])c5O[H])c35)c6O[H])c16)c7c(O[H])c([H])c(O[H])c(C([H])([H])C([H])(O[H])C([H])(c8c([H])c([H])c(O[H])c(O[H])c8[H])O9)c79	1	865.196	spectra/specs_ms.pklbin	CCMSLIB00001760482	3.23366e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
113	M-H	N/A	-1	Catechin_Epicatechin_Gallate	Other	GCYounkin	442.09	N/A	N/A	qTof	Negative	LC-ESI	441.083	lib-00027.mgf	Bronze	3	0.696393	2.76752	0.0012207	PRIVATE-USER	TAKursar	441.083	N/A	0	7	c12c(c(cc(c1)O)O)CC(C(O2)c1ccc(c(c1)O)O)OC(=O)c1cc(c(c(c1)O)O)O	1	441.082	spectra/specs_ms.pklbin	CCMSLIB00001057374	2.47321e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1133	M-H	N/A	-1	Boschnaside	Other	GCYounkin	330.168	N/A	N/A	qTof	Negative	LC-ESI	329.161	lib-00026.mgf	Bronze	3	0.406428	1.20527	0.000396729	PRIVATE-USER	TAKursar	329.161	N/A	0	6	C1([H])(OC2([H])OC([H])=C(C([H])([H])[H])C([H])(C([H])([H])C([H])([H])C3([H])C([H])([H])[H])C23[H])OC([H])(C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C1([H])O[H]	1	329.16	spectra/specs_ms.pklbin	CCMSLIB00001781658	66678.9	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1135	M-H	N/A	-1	Di_Hydro_Kaempferol_Hexose_Gallate	Other	GCYounkin	602.127	N/A	N/A	qTof	Negative	LC-ESI	601.12	lib-00027.mgf	Bronze	3	0.655581	1.92918	0.00115967	PRIVATE-USER	TAKursar	601.12	N/A	0	12	c12c(c(cc(c1)O)O)C(=O)C(C(O2)c1ccc(cc1)O)OC1OC(C(C(C1O)O)OC(=O)c1cc(c(c(c1)O)O)O)CO	1	601.119	spectra/specs_ms.pklbin	CCMSLIB00001057490	670836	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1136	M-H	N/A	-1	"3-O-[2-O-(3,4,5-Trihydroxybenzoyl)-alpha-L-arabinopyranoside]-3,3',4',5,7-Pentahydroxyflavone"	Other	GCYounkin	586.096	N/A	N/A	qTof	Negative	LC-ESI	585.089	lib-00026.mgf	Bronze	3	0.493123	1.87772	0.00109863	PRIVATE-USER	TAKursar	585.089	N/A	0	6	C1(OC2([H])OC([H])([H])C([H])(O[H])C([H])(O[H])C2([H])OC(=O)c3c([H])c(O[H])c(c(O[H])c3[H])O[H])=C(c4c([H])c([H])c(O[H])c(O[H])c4[H])Oc(c([H])c(O[H])c([H])c5O[H])c5C1=O	1	585.088	spectra/specs_ms.pklbin	CCMSLIB00001722109	9.29685e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
114	[M+H]	20315-25-7	1	ReSpect:PT204590 Procyanidin B1|(-)-Epicatechin-(4-beta-8)-(+)-catechin|cis,trans''-4,8''-Bi-(3,3',4',5,7-pentahydroxyflavane)|(2R,3R,4R)-2-(3,4-dihydroxyphenyl)-4-[(2R,3S)-2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychro	Isolated	ReSpect	0.0	1/C30H26O12/c31-13-7-20(37)24-23(8-13)41-29(12-2-4-16(33)19(36)6-12)27(40)26(24)25-21(38)10-17(34)14-9-22(39)28(42-30(14)25)11-1-3-15(32)18(35)5-11/h1-8,10,22,26-29,31-40H,9H2/t22-,26+,27+,28+,29+/m0/s1	N/A	LC-Q-TOF/MS	Positive	ESI	577.135	lib-00007.mgf	Bronze	3	0.904983	1.9036	0.00109863	RESPECT	Putative ReSpect Match	577.135	N/A	0	14	C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O	1	577.134	spectra/specs_ms.pklbin	CCMSLIB00000222143	1.76735e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1140	M-H	N/A	-1	Di_Gallocatechin_Type_B_Gallate_Gallate	Other	GCYounkin	914.154	N/A	N/A	qTof	Negative	LC-ESI	913.147	lib-00027.mgf	Bronze	3	0.319252	2.40626	0.00219727	PRIVATE-USER	TAKursar	913.147	N/A	0	6	c12c(c(cc(c1)O)O)C(C(C(O2)c1cc(c(c(c1)O)O)O)O)c1c2c(c(cc1O)OC(=O)c1cc(c(c(c1)OC(=O)c1cc(c(c(c1)O)O)O)O)O)CC(C(O2)c1cc(c(c(c1)O)O)O)O	1	913.145	spectra/specs_ms.pklbin	CCMSLIB00001056933	660075	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1141	M+H	23666-13-9	-1	Vicenin-2	Isolated	Denise	594.159	InChI=1S/C27H30O15/c28-6-12-17(32)21(36)23(38)26(41-12)15-19(34)14-10(31)5-11(8-1-3-9(30)4-2-8)40-25(14)16(20(15)35)27-24(39)22(37)18(33)13(7-29)42-27/h1-5,12-13,17-18,21-24,26-30,32-39H,6-7H2/t12-,13-,17?,18?,21+,22+,23-,24-,26-,27?/m1/s1	 	qTof	Negative	DI-ESI	593.14	lib-00010.mgf	Bronze	3	0.815683	21.7123	0.0128784	GNPS-LIBRARY	Norberto	593.14	 	0	12	O[C@H]1C(C2=C3C(C(C=C(C4=CC=C(O)C=C4)O3)=O)=C(O)C([C@H]5O[C@H](CO)C(O)[C@H](O)[C@H]5O)=C2O)O[C@H](CO)C(O)[C@@H]1O	1	593.153	spectra/specs_ms.pklbin	CCMSLIB00000077238	57538	UPDATE-SINGLE-ANNOTATED-BRONZE	 
