cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd
11	1	163.039	1	163.039	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:328###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=11	1	1
12	1	540.33	1	540.33	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1153###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=12	1	1
13	1	305.066	1	305.066	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:174###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=13	1	1
14	1	564.33	1	564.33	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1286###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=14	1	1
15	1	295.227	1	295.227	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1215###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=15	1	0
16	1	761.135	1	761.135	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:265###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=16	1	1
17	1	293.211	1	293.211	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:855###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=17	1	0
18	1	463.086	1	463.086	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:116###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=18	1	1
19	1	387.164	1	387.164	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:652###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=19	1	1
20	1	341.09	1	341.09	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1790###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=20	1	1
21	1	789.165	1	789.165	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:4779###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=21	1	1
22	1	476.277	1	476.277	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:2312###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=22	1	1
23	1	287.055	1	287.055	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1540###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=23	1	1
24	1	615.098	1	615.098	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:173###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=24	1	1
25	1	329.089	1	329.089	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:929###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=25	1	1
26	1	315.077	1	315.077	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:3658###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=26	1	1
27	1	287.222	1	287.222	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:707###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=27	1	0
28	1	457.077	1	457.077	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:78###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=28	1	1
29	1	301.034	1	301.034	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1697###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=29	1	1
30	1	406.163	1	406.163	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:2458###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=30	1	0
31	1	327.218	1	327.218	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1314###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=31	1	0
32	1	349.058	1	349.058	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:2779###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=32	1	1
33	1	836.15	1	836.15	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:920###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=33	1	0
34	1	285.06	1	285.06	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:333###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=34	1	1
35	1	684.113	1	684.113	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1320###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=35	1	0
36	1	207.077	1	207.077	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:489###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=36	1	1
37	1	299.222	1	299.222	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:841###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=37	1	0
38	1	449.108	1	449.108	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:18###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=38	1	1
39	1	452.277	1	452.277	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:815###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=39	1	1
40	1	327.253	1	327.253	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1186###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=40	1	0
41	1	311.222	1	311.222	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:3502###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=41	1	0
42	1	197.117	1	197.117	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1184###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=42	1	0
43	1	341.139	1	341.139	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:3191###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=43	1	1
44	1	299.055	1	299.055	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:405###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=44	1	1
45	1	507.222	1	507.222	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:2288###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=45	1	1
46	1	463.087	1	463.087	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1039###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=46	1	1
47	1	505.207	1	505.207	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:2705###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=47	1	1
48	1	169.013	1	169.013	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:804###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=48	1	1
49	1	465.103	1	465.103	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:135###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=49	1	1
50	1	209.03	1	209.03	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1217###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=50	1	1
51	1	684.104	1	684.104	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:306###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=51	1	0
52	1	513.307	1	513.307	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:4553###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=52	1	0
53	1	761.134	1	761.134	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1833###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=53	1	1
54	1	269.213	1	269.213	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:3439###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=54	1	0
55	1	760.125	1	760.125	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1267###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=55	1	0
56	1	332.076	1	332.076	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:56###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=56	1	0
57	1	836.131	1	836.131	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:2633###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=57	1	0
58	1	411.022	1	411.022	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:3675###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=58	1	1
59	1	305.068	1	305.068	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1188###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=59	1	1
60	1	180.066	1	180.066	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:358###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=60	1	0
61	1	636.098	1	636.098	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:2367###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=61	1	0
62	1	449.071	1	449.071	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1074###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=62	1	1
63	1	599.103	1	599.103	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:867###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=63	1	1
64	1	767.111	1	767.111	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:768###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=64	1	1
65	1	479.082	1	479.082	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:3109###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=65	1	1
66	1	491.139	1	491.139	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:2330###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=66	1	1
67	1	343.066	1	343.066	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:92###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=67	1	1
68	1	788.11	1	788.11	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1842###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=68	1	0
69	1	405.103	1	405.103	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:4030###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=69	1	1
70	1	1064.16	1	1064.16	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:5051###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=70	1	0
71	1	305.066	1	305.066	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:95###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=71	1	1
72	1	447.093	1	447.093	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:185###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=72	1	1
73	1	243.051	1	243.051	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:3312###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=73	1	1
74	1	913.141	1	913.141	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:3412###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=74	1	1
75	1	457.077	1	457.077	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:67###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=75	1	1
76	1	477.103	1	477.103	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:168###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=76	1	1
77	1	343.065	1	343.065	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:572###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=77	1	1
78	1	332.077	1	332.077	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:46###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=78	1	0
79	1	635.088	1	635.088	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:694###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=79	1	1
80	1	331.065	1	331.065	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1030###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=80	1	1
81	1	483.076	1	483.076	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:647###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=81	1	1
82	1	761.135	1	761.135	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1395###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=82	1	1
83	1	481.099	1	481.099	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1716###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=83	1	1
84	1	483.076	1	483.076	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:648###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=84	1	1
85	1	343.066	1	343.066	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:385###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=85	1	1
86	1	564.33	1	564.33	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1043###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=86	1	1
87	1	169.014	1	169.014	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1639###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=87	1	1
88	1	495.076	1	495.076	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:76###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=88	1	1
89	1	483.077	1	483.077	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:509###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=89	1	1
90	1	331.065	1	331.065	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:3677###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=90	1	1
91	1	452.277	1	452.277	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1683###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=91	1	1
92	1	562.314	1	562.314	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:1322###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=92	1	1
93	1	609.088	1	609.088	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:402###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=93	1	1
94	1	484.087	1	484.087	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:171###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=94	1	0
95	1	321.024	1	321.024	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:258###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=95	1	1
96	1	629.114	1	629.114	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:3583###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=96	1	1
97	1	354.058	1	354.058	0	1	0	0	0	0	0	phenolics_merged_spectra_2017_09_22.mgf:534###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=c9ab000dceba4e04b964254b5ba4fb2c&view=cluster_details&protein=97	1	0
