#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags	internalFilename
1815	M-H	153-18-4	-1	Rutin	Commercial	Denise Silva	610.153	InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15+,17-,18 ,20 ,21-,22 ,23 ,26 ,27-/m1/s1	 	qTof	Negative	DI-ESI	609.134	lib-00010.mgf	Bronze	3	0.943536	19.539	0.0119019	GNPS-LIBRARY	Norberto Lopes	609.134	 	0	8	O=C1C2=C(C=C(C=C2OC(C3=CC=C(C(O)=C3)O)=C1O[C@@H]4[C@@H](O)[C@H](O)[C@@H](O)[C@H](CO[C@H]5O[C@H](C)[C@@H](O)[C@H](O)[C@@H]5O)O4)O)O	1	609.146	specs_ms.pklbin	CCMSLIB00000077235	1.10433e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
2855	M-H	970-74-1	1	Epigallocatechin	Isolated	Denise Silva	306.074	InChI=1S/C15H14O7/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6/h1-4,12,15-21H,5H2/t12-,15-/m1/s1	N/A	qTof	Negative	DI-ESI	305.059	lib-00010.mgf	Bronze	3	0.942993	21.2081	0.00646973	GNPS-LIBRARY	Norberto Lopes	305.059	N/A	0	9	OC1=C(C[C@@H](O)[C@@H](C2=CC(O)=C(O)C(O)=C2)O3)C3=CC(O)=C1	1	305.065	specs_ms.pklbin	CCMSLIB00000081482	16482	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
939	[M+H]	99882-10-7	1	ReSpect:PT209220 Kaempferol-3-O-alpha-L-arabinoside|Kaem-3-Ara|Kaempferol-3-O-alpha-L-arabinopyranoside|5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4S,5S)-3,4,5-trihydroxyoxan-2-yl]oxychromen-4-one	Isolated	ReSpect	0.0	1/C20H18O10/c21-9-3-1-8(2-4-9)18-19(30-20-17(27)15(25)12(24)7-28-20)16(26)14-11(23)5-10(22)6-13(14)29-18/h1-6,12,15,17,20-25,27H,7H2/t12-,15-,17+,20-/m0/s1	N/A	LC-Q-TOF/MS	Positive	ESI	417.082	lib-00007.mgf	Bronze	3	0.941388	1.24388	0.000518799	RESPECT	Putative ReSpect Match	417.082	N/A	0	6	C1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O	1	417.081	specs_ms.pklbin	CCMSLIB00000222460	1.14953e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
1623	[M+H]	15648-86-9	1	ReSpect:PT209280 Myricetin-3-Galactoside|Myrc-3-Gal|Myricetin-3-Galactopyranoside	Isolated	ReSpect	0.0	N/A	N/A	LC-Q-TOF/MS	Positive	ESI	479.083	lib-00007.mgf	Bronze	3	0.940497	1.911	0.000915527	RESPECT	Putative ReSpect Match	479.083	N/A	0	9	c	1	479.082	specs_ms.pklbin	CCMSLIB00000222471	361332	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
1017	M-H	n/a	1	NCGC00169547-02!3-[3-[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one	isolated	lfnothias	596.138	InChI=1S/C26H28O16/c27-6-15-17(33)19(35)22(42-25-23(36)26(37,7-28)8-38-25)24(40-15)41-21-18(34)16-13(32)4-10(29)5-14(16)39-20(21)9-1-2-11(30)12(31)3-9/h1-5,15,17,19,22-25,27-33,35-37H,6-8H2/t15?,17?,19?,22?,23-,24?,25+,26+/m0/s1	N/A	Maxis II HD Q-TOF Bruker	negative	LC-ESI	595.131	lib-00017.mgf	Gold	1	0.932468	2.35882	0.00140381	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE	Jadhav/Dorrestein	595.131	n/a	0	9	OCC1OC(OC2=C(OC3=C(C2=O)C(O)=CC(O)=C3)C4=CC(O)=C(O)C=C4)C(O[C@H]5OC[C@](O)(CO)[C@H]5O)C(O)C1O	1	595.13	specs_ms.pklbin	CCMSLIB00000846303	8.36116e+06	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.pklbin
1224	[M+H]	107740-46-5	1	ReSpect:PT209110 Isorhamnetin-3-Galactoside-6''-Rhamnoside|Isor-3-Gal-6''-Rha	Isolated	ReSpect	0.0	N/A	N/A	LC-Q-TOF/MS	Positive	ESI	623.161	lib-00007.mgf	Bronze	3	0.926076	0.391778	0.000244141	RESPECT	Putative ReSpect Match	623.161	N/A	0	6	c	1	623.161	specs_ms.pklbin	CCMSLIB00000222431	420186	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
1854	M-H	140603	1	Spectral Match to Decylbenzenesulfonic acid from NIST14	Isolated	Data deposited by mjmeehan	0.0	N/A	N/A	QqQ	Negative	ESI	297.141	lib-00024.mgf	Bronze	3	0.924515	36.6653	0.0108948	GNPS-NIST14-MATCHES	Data from Kimberly Prather	297.141	N/A	0	6	N/A	1	297.152	specs_ms.pklbin	CCMSLIB00003139509	168908	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
150	[M+H]	17912-87-7	1	ReSpect:PT209290 Myricetin-3-Rhamnoside|Myrc-3-Rha|Myricitrin|Myricitrine|Myricetrin|Myricitroside|myricetin-3-O-rhamnoside|Myricetol 3-rhamnoside|Myricetin 3-O-alpha-L-rhamnopyranoside|3-((6-Deoxy-alpha-L-mannopyrano	Isolated	ReSpect	0.0	1/C21H20O12/c1-6-14(26)17(29)18(30)21(31-6)33-20-16(28)13-9(23)4-8(22)5-12(13)32-19(20)7-2-10(24)15(27)11(25)3-7/h2-6,14,17-18,21-27,29-30H,1H3/t6-,14-,17+,18+,21-/m0/s1	N/A	LC-Q-TOF/MS	Positive	ESI	463.088	lib-00007.mgf	Bronze	3	0.924325	2.17471	0.00100708	RESPECT	Putative ReSpect Match	463.088	N/A	0	8	CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C(=C4)O)O)O)O)O)O	1	463.087	specs_ms.pklbin	CCMSLIB00000222473	1.31657e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
2814	M-H	572-30-5	-1	Avicularin	Isolated	Denise Silva	434.085	InChI=1S/C20H18O11/c21-6-13-15(26)17(28)20(30-13)31-19-16(27)14-11(25)4-8(22)5-12(14)29-18(19)7-1-2-9(23)10(24)3-7/h1-5,13,15,17,20-26,28H,6H2	 	qTof	Negative	DI-ESI	433.08	lib-00010.mgf	Bronze	3	0.923831	8.31503	0.00360107	GNPS-LIBRARY	Norberto Lopes	433.08	 	0	9	OC1=C(C=C(C=C1)C2=C(C(C3=C(C=C(C=C3O2)O)O)=O)OC4OC(C(C4O)O)CO)O	1	433.076	specs_ms.pklbin	CCMSLIB00000077225	5.84252e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
3198	M-H	73223	1	Spectral Match to L-Tryptophan from NIST14	Isolated	Data deposited by fevargas	0.0	N/A	N/A	HCD	Negative	ESI	203.083	lib-00024.mgf	Bronze	3	0.923137	4.58328	0.000930786	GNPS-NIST14-MATCHES	Data from Kevin Bush	203.083	N/A	0	7	N/A	1	203.082	specs_ms.pklbin	CCMSLIB00003138464	77667.4	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
13	[M+H]	102849-44-5	1	ReSpect:PT209300 Myricetin-3-Xyloside|Myrc-3-Xyl	Isolated	ReSpect	0.0	N/A	N/A	LC-Q-TOF/MS	Positive	ESI	449.072	lib-00007.mgf	Bronze	3	0.917832	1.4271	0.000640869	RESPECT	Putative ReSpect Match	449.072	N/A	0	7	c	1	449.071	specs_ms.pklbin	CCMSLIB00000222475	2.33907e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
1059	[M+H]	578-74-5	1	ReSpect:PT204130 apigenin-7-O-glucoside|Apig-7-Glc|Apigetrin|Cossmetin|Cosmosiine|Cosmosioside|Apigenin 7-O-beta-D-glucopyranoside|7-O-beta-D-Glucosyl-5,7,4'-trihydroxyflavone|7-(beta-D-Glucopyranosyloxy)-5-hydroxy-2-	Isolated	ReSpect	0.0	1/C21H20O10/c22-8-16-18(26)19(27)20(28)21(31-16)29-11-5-12(24)17-13(25)7-14(30-15(17)6-11)9-1-3-10(23)4-2-9/h1-7,16,18-24,26-28H,8H2/t16-,18-,19+,20-,21-/m1/s1	N/A	LC-Q-TOF/MS	Positive	ESI	431.098	lib-00007.mgf	Bronze	3	0.915675	0.566323	0.000244141	RESPECT	Putative ReSpect Match	431.098	N/A	0	7	C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O	1	431.098	specs_ms.pklbin	CCMSLIB00000222061	666723	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
752	M-H	73223	1	Spectral Match to L-Tryptophan from NIST14	Isolated	Data deposited by fevargas	0.0	N/A	N/A	HCD	Negative	ESI	203.083	lib-00024.mgf	Bronze	3	0.912381	4.05733	0.000823975	GNPS-NIST14-MATCHES	Data from Kevin Bush	203.083	N/A	0	7	N/A	1	203.082	specs_ms.pklbin	CCMSLIB00003138464	13532.1	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
142	M-H	526-99-8	0	GALACTARATE	Commercial standard	Prasad	210.038	N/A	N/A	Q-Exactive Plus	Negative	LC-ESI	209.03	lib-00012.mgf	Gold	1	0.912137	1.53296	0.000320435	GNPS-EMBL-MCF	Alexandrov Theodore	209.03	3037582	0	8	C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O	1	209.03	specs_ms.pklbin	CCMSLIB00000578199	88672.1	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.pklbin
842	M-H	n/a	1	NCGC00180770-02!3-[(2S,3R,4S,5R,6R)-3,5-dihydroxy-6-(hydroxymethyl)-4-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one	isolated	lfnothias	594.158	InChI=1S/C27H30O15/c1-9-17(32)20(35)21(36)26(38-9)41-24-18(33)15(8-28)40-27(22(24)37)42-25-19(34)16-13(31)6-12(30)7-14(16)39-23(25)10-2-4-11(29)5-3-10/h2-7,9,15,17-18,20-22,24,26-33,35-37H,8H2,1H3/t9-,15+,17-,18+,20+,21+,22+,24-,26-,27-/m0/s1	N/A	Maxis II HD Q-TOF Bruker	negative	LC-ESI	593.151	lib-00017.mgf	Gold	1	0.910424	0.823199	0.000488281	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE	Jadhav/Dorrestein	593.151	n/a	0	8	C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)O[C@@H](OC3=C(OC4=C(C3=O)C(O)=CC(O)=C4)C5=CC=C(O)C=C5)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	1	593.151	specs_ms.pklbin	CCMSLIB00000846295	5.80717e+06	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.pklbin
1190	M-H	118-00-3	0	GUANOSINE	Commercial standard	Prasad	283.092	N/A	N/A	Q-Exactive Plus	Negative	LC-ESI	282.084	lib-00012.mgf	Gold	1	0.908579	2.27191	0.000640869	GNPS-EMBL-MCF	Alexandrov Theodore	282.084	6802	0	7	C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=NC2=O)N	1	282.083	specs_ms.pklbin	CCMSLIB00000578138	310825	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.pklbin
1717	M-H	n/a	1	NCGC00180410-02!3-[(2S,3R,4S,5S,6R)-6-[[(2R,3R,4R,5R,6S)-3-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxy-6-methyloxan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one	isolated	lfnothias	742.196	InChI=1S/C32H38O20/c1-10-19(38)23(42)27(52-31-28(44)32(45,8-33)9-47-31)30(48-10)46-7-17-20(39)22(41)24(43)29(50-17)51-26-21(40)18-15(37)5-12(34)6-16(18)49-25(26)11-2-3-13(35)14(36)4-11/h2-6,10,17,19-20,22-24,27-31,33-39,41-45H,7-9H2,1H3/t10-,17+,19-,20+,22-,23+,24+,27+,28-,29-,30+,31-,32+/m0/s1	N/A	Maxis II HD Q-TOF Bruker	negative	LC-ESI	741.189	lib-00017.mgf	Gold	1	0.907378	2.05869	0.00152588	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE	Jadhav/Dorrestein	741.189	n/a	0	10	C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=C(C3=O)C(O)=CC(O)=C4)C5=CC(O)=C(O)C=C5)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O[C@@H]6OC[C@](O)(CO)[C@H]6O)[C@H](O)[C@H]1O	1	741.188	specs_ms.pklbin	CCMSLIB00000845494	217161	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.pklbin
537	[M+H]	4261-42-1	1	ReSpect:PT204250 Homoorientin|Lutl-6-C-Glc|Isoorientin|luteolin-6-C-glucoside|luteolin- 6-C-beta-D-glucopyranoside|2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]	Isolated	ReSpect	0.0	1/C21H20O11/c22-6-14-17(27)19(29)20(30)21(32-14)16-11(26)5-13-15(18(16)28)10(25)4-12(31-13)7-1-2-8(23)9(24)3-7/h1-5,14,17,19-24,26-30H,6H2/t14-,17-,19+,20-,21+/m1/s1	N/A	LC-Q-TOF/MS	Positive	ESI	447.093	lib-00007.mgf	Bronze	3	0.906296	2.11599	0.000946045	RESPECT	Putative ReSpect Match	447.093	N/A	0	10	C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C=C3O2)O)C4C(C(C(C(O4)CO)O)O)O)O)O)O	1	447.092	specs_ms.pklbin	CCMSLIB00000222098	562821	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
3290	M-H	n/a	1	NCGC00169848-02!3-[4,5-dihydroxy-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one	isolated	lfnothias	740.216	InChI=1S/C33H40O19/c1-10-19(37)23(41)26(44)31(47-10)46-9-17-21(39)25(43)30(52-32-27(45)24(42)20(38)11(2)48-32)33(50-17)51-29-22(40)18-15(36)7-14(35)8-16(18)49-28(29)12-3-5-13(34)6-4-12/h3-8,10-11,17,19-21,23-27,30-39,41-45H,9H2,1-2H3	N/A	Maxis II HD Q-TOF Bruker	negative	LC-ESI	739.209	lib-00017.mgf	Gold	1	0.905565	0.660546	0.000488281	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE	Jadhav/Dorrestein	739.209	n/a	0	12	CC1OC(OCC2OC(OC3=C(OC4=C(C3=O)C(O)=CC(O)=C4)C5=CC=C(O)C=C5)C(OC6OC(C)C(O)C(O)C6O)C(O)C2O)C(O)C(O)C1O	1	739.208	specs_ms.pklbin	CCMSLIB00000846576	1.32257e+06	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.pklbin
2247	M-H	n/a	1	NCGC00380505-01_C23H30O12_3,4-Dihydroxy-5-[(6-O-{[4-(2-hydroxy-2-propanyl)-1-cyclohexen-1-yl]carbonyl}-beta-D-glucopyranosyl)oxy]benzoic acid	isolated	lfnothias	498.174	InChI=1S/C23H30O12/c1-23(2,32)12-5-3-10(4-6-12)21(31)33-9-15-17(26)18(27)19(28)22(35-15)34-14-8-11(20(29)30)7-13(24)16(14)25/h3,7-8,12,15,17-19,22,24-28,32H,4-6,9H2,1-2H3,(H,29,30)/t12?,15-,17-,18+,19-,22-/m1/s1	N/A	Maxis II HD Q-TOF Bruker	negative	LC-ESI	497.166	lib-00017.mgf	Gold	1	0.904833	3.00777	0.00149536	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_NEGATIVE	Jadhav/Dorrestein	497.166	n/a	0	7	CC(C)(O)C1CC\C(=C/C1)C(=O)OC[C@H]2O[C@@H](OC3=CC(=CC(=C3O)O)C(O)=O)[C@H](O)[C@@H](O)[C@@H]2O	1	497.164	specs_ms.pklbin	CCMSLIB00000850115	689752	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.pklbin
547	M-H	59-92-7	0	"3,4-DIHYDROXY-L-PHENYLALANINE"	Commercial standard	Prasad	197.069	N/A	N/A	Q-Exactive Plus	Negative	LC-ESI	196.061	lib-00012.mgf	Gold	1	0.90406	1.79002	0.000350952	GNPS-EMBL-MCF	Alexandrov Theodore	196.061	6047	0	7	C1=CC(=C(C=C1CC(C(=O)O)N)O)O	1	196.061	specs_ms.pklbin	CCMSLIB00000578137	183373	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.pklbin
827	[M+H]	522-12-3	1	ReSpect:PT204350 Quercitrin|Quer-3-Rha|Quercitrin|thujin|Quercetrin|Quercimelin|Quercitroside|quercetin-3-O-rhamnoside|Quercetin- 3-(6-deoxy-alpha-L-mannopyranoside)|3,3',4',5,7-Pentahydroxyflavone-3-L-rhamnoside|2-(3	Isolated	ReSpect	0.0	1/C21H20O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-18,21-26,28-29H,1H3/t7-,15-,17+,18+,21-/m0/s1	N/A	LC-Q-TOF/MS	Positive	ESI	447.093	lib-00007.mgf	Bronze	3	0.899531	1.97948	0.00088501	RESPECT	Putative ReSpect Match	447.093	N/A	0	7	CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O	1	447.092	specs_ms.pklbin	CCMSLIB00000222119	3.3921e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
